commit	avg_score	elapsed_min	status	description	scores_json
92f62fd	5.7333	13.9	discard	expand tangent management in rule 7 (3-run avg: 5.8,6.0,5.4)	{"authenticity": 5.7, "emotional_attunement": 6.3, "explanation_quality": 6.0, "pacing": 4.7, "responsiveness": 6.0}
1fe879b	5.9333	15.9	discard	strengthen answer verification in rule 4 (3-run avg: 6.0,5.6,6.2)	{"authenticity": 6.3, "emotional_attunement": 6.0, "explanation_quality": 6.3, "pacing": 5.0, "responsiveness": 6.0}
c6a009d	6.7333	18.7	baseline	3-run baseline — current best prompts (6.0,6.8,7.4)	{"authenticity": 6.7, "emotional_attunement": 7.0, "explanation_quality": 6.7, "pacing": 6.3, "responsiveness": 7.0}
3813eda	6.4000	24.5	discard	reteach after repeated errors instead of drilling (3-run avg: 6.2,6.4,6.6)	{"authenticity": 7.0, "emotional_attunement": 6.3, "explanation_quality": 7.0, "pacing": 5.7, "responsiveness": 6.0}
85580d9	6.9333	21.9	keep	turn prompt: student works through steps (3-run avg: 6.0,7.2,7.6)	{"authenticity": 7.0, "emotional_attunement": 7.3, "explanation_quality": 6.7, "pacing": 6.3, "responsiveness": 7.3}
7af0d0f	6.0667	16.7	discard	ban gamified jargon labels in rule 9 (3-run avg: 7.0,6.0,5.2)	{"authenticity": 6.3, "emotional_attunement": 6.0, "explanation_quality": 6.7, "pacing": 5.3, "responsiveness": 6.0}
7d50cc2	5.8667	20.5	discard	simplify rule 5 — remove unpredictable/fresh line (3-run avg: 5.8,6.6,5.2)	{"authenticity": 5.7, "emotional_attunement": 5.7, "explanation_quality": 6.7, "pacing": 5.3, "responsiveness": 6.0}
d36e40f	6.6667	18.2	discard	turn prompt: mirror student Hindi words (3-run avg: 6.8,6.4,6.8)	{"authenticity": 7.0, "emotional_attunement": 6.3, "explanation_quality": 7.0, "pacing": 6.3, "responsiveness": 6.7}
c8e3da0	7.0667	20.3	keep	turn prompt: level up after 2-3 correct (3-run avg: 6.8,7.0,7.4)	{"authenticity": 7.0, "emotional_attunement": 7.3, "explanation_quality": 7.0, "pacing": 6.7, "responsiveness": 7.3}
ab42593	6.8667	20.5	discard	turn prompt: open questions not multiple choice (3-run avg: 5.8,7.6,7.2)	{"authenticity": 6.7, "emotional_attunement": 7.3, "explanation_quality": 6.7, "pacing": 6.7, "responsiveness": 7.0}
a254255	5.8667	19.1	discard	turn prompt: connect ideas to everyday examples (3-run avg: 5.6,6.8,5.2)	{"authenticity": 6.3, "emotional_attunement": 6.0, "explanation_quality": 6.0, "pacing": 4.7, "responsiveness": 6.3}
5074bd9	6.2667	25.1	discard	balanced level-up: advance or reteach (3-run avg: 6.2,6.8,5.8)	{"authenticity": 6.3, "emotional_attunement": 6.7, "explanation_quality": 6.3, "pacing": 5.7, "responsiveness": 6.3}
879cf94	6.2000	15.6	baseline	round 2 baseline — current prompts (3-run avg: 5.8,6.8,6.0)	{"authenticity": 6.3, "emotional_attunement": 6.7, "explanation_quality": 6.3, "pacing": 5.3, "responsiveness": 6.3}
a0f22cf	7.2667	18.3	keep	soften why-before-what — concrete task instead (3-run avg: 7.4,7.6,6.8)	{"authenticity": 7.0, "emotional_attunement": 7.7, "explanation_quality": 7.3, "pacing": 6.7, "responsiveness": 7.7}
0a2bb65	5.9333	14.9	discard	turn prompt: redo errors before moving on (3-run avg: 5.4,6.4,6.0)	{"authenticity": 6.3, "emotional_attunement": 6.3, "explanation_quality": 6.3, "pacing": 5.0, "responsiveness": 5.7}
0c4d4ab	7.6667	21.1	keep	persona framing: favourite older sibling (3-run avg: 7.8,7.8,7.4)	{"authenticity": 7.3, "emotional_attunement": 8.0, "explanation_quality": 7.7, "pacing": 7.3, "responsiveness": 8.0}
0cd19c6	6.2000	13.5	discard	one analogy per concept — reduce metaphor overload (3-run avg: 6.0,6.2,6.4)	{"authenticity": 7.0, "emotional_attunement": 6.3, "explanation_quality": 6.3, "pacing": 5.0, "responsiveness": 6.3}
3d5763d	6.5333	17.7	discard	add naturally not scripted to persona intro (3-run avg: 7.2,6.4,6.0)	{"authenticity": 6.7, "emotional_attunement": 6.7, "explanation_quality": 7.0, "pacing": 6.0, "responsiveness": 6.3}
4a23a23	6.9333	21.0	discard	simplify Rule 1 explanation sequence (3-run avg: 6.6,7.2,7.0)	{"authenticity": 6.7, "emotional_attunement": 7.3, "explanation_quality": 7.0, "pacing": 6.7, "responsiveness": 7.0}
89bbd9c	6.0667	15.1	discard	specific praise — name the skill not generic great job (3-run avg: 7.4,6.2,4.6)	{"authenticity": 6.3, "emotional_attunement": 6.3, "explanation_quality": 6.0, "pacing": 5.7, "responsiveness": 6.0}
ebf2be4	7.2000	19.7	discard	add listens carefully to persona intro (3-run avg: 7.6,6.8,7.2)	{"authenticity": 7.0, "emotional_attunement": 7.7, "explanation_quality": 7.3, "pacing": 6.7, "responsiveness": 7.3}
5a95ef7	6.0667	18.6	discard	turn prompt: build on reasoning instead of dont solve (3-run avg: 7.0,5.2,6.0)	{"authenticity": 6.3, "emotional_attunement": 6.0, "explanation_quality": 6.3, "pacing": 5.3, "responsiveness": 6.3}
c25206d	7.2667	21.4	discard	acknowledge correct parts before addressing errors (3-run avg: 7.2,7.6,7.0)	{"authenticity": 7.0, "emotional_attunement": 7.3, "explanation_quality": 7.3, "pacing": 7.3, "responsiveness": 7.3}
0630563	6.6000	17.3	discard	conversational paragraphs instead of formulaic bullets (3-run avg: 7.0,5.6,7.2)	{"authenticity": 6.7, "emotional_attunement": 6.7, "explanation_quality": 6.7, "pacing": 6.3, "responsiveness": 6.7}
9e85607	6.6667	19.3	variance-check	variance check — current best prompts, no changes (3-run avg: 7.2,7.0,5.8)	{"authenticity": 6.3, "emotional_attunement": 6.7, "explanation_quality": 6.7, "pacing": 6.3, "responsiveness": 7.3}
27a5761	6.2000	14.2	discard	reframe Rule 5 — natural conversation not unpredictable (3-run avg: 5.4,6.6,6.6)	{"authenticity": 6.3, "emotional_attunement": 6.7, "explanation_quality": 6.0, "pacing": 5.7, "responsiveness": 6.3}
f8f707a	5.7333	15.7	discard	new Rule 14 — compute first before confirming answers (3-run avg: 5.6,5.6,6.0)	{"authenticity": 6.3, "emotional_attunement": 5.7, "explanation_quality": 6.0, "pacing": 4.7, "responsiveness": 6.0}
05a7308	7.0000	26.9	discard	respond short and conversational (3-run avg: 6.4,7.2,7.4)	{"authenticity": 7.0, "emotional_attunement": 7.0, "explanation_quality": 7.3, "pacing": 6.7, "responsiveness": 7.0}
16627a7	6.0000	17.8	discard	replication: acknowledge correct parts before errors (3-run avg: 6.0,7.0,5.0)	{"authenticity": 6.7, "emotional_attunement": 6.7, "explanation_quality": 6.0, "pacing": 4.7, "responsiveness": 6.0}
c420d55	7.0667	25.9	keep	Rule 7: respond to student before new content (3-run avg: 7.2,6.8,7.2)	{"authenticity": 7.0, "emotional_attunement": 7.3, "explanation_quality": 7.0, "pacing": 6.7, "responsiveness": 7.3}
d212830	6.9333	29.5	discard	offer easier version when student struggles (3-run avg: 7.2,6.6,7.0)	{"authenticity": 7.0, "emotional_attunement": 7.0, "explanation_quality": 7.0, "pacing": 6.7, "responsiveness": 7.0}
44d686f	6.6000	20.1	discard	turn prompt: focus on one idea per response (3-run avg: 6.4,7.0,6.4)	{"authenticity": 7.0, "emotional_attunement": 7.0, "explanation_quality": 6.3, "pacing": 6.0, "responsiveness": 6.7}
